Table Name(1),State Code (2),District Code(3),Tehsil Code  (4),Town  Code (5),Area Name (6),Total/ Rural/ Urban(7),Total number of households (8),Total number of households availing banking services  (9),"Availability of assets Radio/
Transistor (10)",Availability of assets Television (11),Availability of assets Computer/Laptop With Internet (12),Availability of assets Computer/Laptop Without Internet (13),Availability of assets Telephone/Mobile PhoneLandline only (14),Availability of assets Telephone/Mobile Phone Mobile only (15),Availability of assets Telephone/Mobile Phone Both (16),Availability of assets Bicycle (17),Availability of assets Scooter/ Motorcycle/Moped (18),Availability of assets Car/ Jeep/Van (19),"Availability of assets Households with TV, Computer/Laptop, Telephone/mobile phone and Scooter/ Car (20)",Availability of assets None of the assets specified in col.(21),,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,028,00146,000000,Sub-District - Bhoranj,Rural,22270,20966,4940,18256,288,716,3333,11327,3859,747,2447,1036,386,1849,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,028,00146,000000,Sub-District - Bhoranj,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,029,00000,000000,District - Una,Total,109699,97137,19820,88894,2412,5826,7736,70217,12776,41378,36913,8059,5342,7230,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,029,00000,000000,District - Una,Rural,99791,89208,17834,80815,1893,4846,7215,63863,11221,37383,32450,6592,4172,6606,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,029,00000,000000,District - Una,Urban,9908,7929,1986,8079,519,980,521,6354,1555,3995,4463,1467,1170,624,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,029,00147,000000,Sub-District - Bharwain,Total,4013,3841,740,3320,59,144,425,2298,548,129,685,246,108,310,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,029,00147,000000,Sub-District - Bharwain,Rural,4013,3841,740,3320,59,144,425,2298,548,129,685,246,108,310,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,029,00147,000000,Sub-District - Bharwain,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,029,00148,000000,Sub-District - Amb,Total,36481,33136,7036,29970,775,1621,2845,22989,4306,12865,11572,2409,1461,2329,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,029,00148,000000,Sub-District - Amb,Rural,34757,31560,6598,28485,697,1461,2713,21934,3965,12227,10835,2145,1282,2255,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,029,00148,000000,Sub-District - Amb,Urban,1724,1576,438,1485,78,160,132,1055,341,638,737,264,179,74,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,029,00148,800113,Daulatpur (NP),Urban,856,776,159,742,29,72,54,593,99,208,337,92,71,45,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,029,00148,800114,Gagret (NP),Urban,868,800,279,743,49,88,78,462,242,430,400,172,108,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,029,00149,000000,Sub-District - Bangana,Total,15589,14740,2425,12027,140,430,1304,9601,1972,2087,2548,509,226,1368,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,029,00149,000000,Sub-District - Bangana,Rural,15589,14740,2425,12027,140,430,1304,9601,1972,2087,2548,509,226,1368,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,029,00149,000000,Sub-District - Bangana,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,029,00150,000000,Sub-District - Una,Total,39615,33066,7362,32390,1261,2805,2455,25881,5199,21251,17274,3960,3046,2254,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,029,00150,000000,Sub-District - Una,Rural,31431,26713,5814,25796,820,1985,2066,20582,3985,17894,13548,2757,2055,1704,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,029,00150,000000,Sub-District - Una,Urban,8184,6353,1548,6594,441,820,389,5299,1214,3357,3726,1203,991,550,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,029,00150,800115,Una (M Cl),Urban,4202,3316,756,3407,255,526,197,2656,814,1131,2013,825,624,282,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,029,00150,800116,Mehatpur Basdehra (NP),Urban,2099,1522,497,1575,114,153,102,1399,211,1033,867,217,205,189,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,029,00150,800117,Santokhgarh (NP),Urban,1883,1515,295,1612,72,141,90,1244,189,1193,846,161,162,79,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,029,00151,000000,Sub-District - Haroli,Total,14001,12354,2257,11187,177,826,707,9448,751,5046,4834,935,501,969,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,029,00151,000000,Sub-District - Haroli,Rural,14001,12354,2257,11187,177,826,707,9448,751,5046,4834,935,501,969,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,029,00151,000000,Sub-District - Haroli,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,030,00000,000000,District - Bilaspur,Total,80453,68433,14900,61392,1574,4707,7650,47001,12284,5387,11397,6573,2779,7043,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,030,00000,000000,District - Bilaspur,Rural,74661,63213,13402,56292,1159,3919,7357,43277,10814,4736,9574,5119,1961,6921,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,030,00000,000000,District - Bilaspur,Urban,5792,5220,1498,5100,415,788,293,3724,1470,651,1823,1454,818,122,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,030,00152,000000,Sub-District - Ghumarwin,Total,19646,17725,3980,15456,425,1127,2624,10478,3536,1311,2636,1507,656,1508,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,030,00152,000000,Sub-District - Ghumarwin,Rural,17807,16053,3226,13876,283,853,2499,9224,3140,1032,2073,1058,374,1478,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,030,00152,000000,Sub-District - Ghumarwin,Urban,1839,1672,754,1580,142,274,125,1254,396,279,563,449,282,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,030,00152,800118,Ghumarwin (M Cl),Urban,1839,1672,754,1580,142,274,125,1254,396,279,563,449,282,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,030,00153,000000,Sub-District - Bharari,Total,10192,9458,2157,8383,164,538,1298,5435,1829,360,1144,579,236,749,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,030,00153,000000,Sub-District - Bharari,Rural,10192,9458,2157,8383,164,538,1298,5435,1829,360,1144,579,236,749,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,030,00153,000000,Sub-District - Bharari,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,030,00154,000000,Sub-District - Jhanduta,Total,19379,15188,2852,13697,223,1168,1964,11000,2113,859,1782,1238,521,2371,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,030,00154,000000,Sub-District - Jhanduta,Rural,18934,14840,2783,13335,218,1122,1951,10637,2070,827,1693,1199,505,2356,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,030,00154,000000,Sub-District - Jhanduta,Urban,445,348,69,362,5,46,13,363,43,32,89,39,16,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,030,00154,800119,Talai (NP),Urban,445,348,69,362,5,46,13,363,43,32,89,39,16,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,030,00155,000000,Sub-District - Naina Devi,Total,9116,7333,1659,6212,66,229,404,5935,1016,1495,1759,417,107,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,030,00155,000000,Sub-District - Naina Devi,Rural,8856,7109,1637,5993,60,210,396,5780,942,1494,1738,373,93,994,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,030,00155,000000,Sub-District - Naina Devi,Urban,260,224,22,219,6,19,8,155,74,1,21,44,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,030,00155,800120,Naina Devi (M Cl),Urban,260,224,22,219,6,19,8,155,74,1,21,44,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,030,00156,000000,Sub-District - Bilaspur Sadar,Total,15906,13557,2760,12932,623,1331,1100,9580,3179,1238,3534,2351,1156,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,030,00156,000000,Sub-District - Bilaspur Sadar,Rural,12658,10581,2107,9993,361,882,953,7628,2222,899,2384,1429,650,954,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,030,00156,000000,Sub-District - Bilaspur Sadar,Urban,3248,2976,653,2939,262,449,147,1952,957,339,1150,922,506,66,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,030,00156,800121,Bilaspur (M Cl),Urban,3248,2976,653,2939,262,449,147,1952,957,339,1150,922,506,66,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,030,00157,000000,Sub-District - Namhol,Total,6214,5172,1492,4712,73,314,260,4573,611,124,542,481,103,390,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,030,00157,000000,Sub-District - Namhol,Rural,6214,5172,1492,4712,73,314,260,4573,611,124,542,481,103,390,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,030,00157,000000,Sub-District - Namhol,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,031,00000,000000,District - Solan,Total,123353,104254,38632,94692,5250,9228,10150,76524,22025,12426,25275,15117,7887,6684,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,031,00000,000000,District - Solan,Rural,97237,81719,31851,75020,2657,5674,9123,58055,17628,10322,19203,10174,4150,5384,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,031,00000,000000,District - Solan,Urban,26116,22535,6781,19672,2593,3554,1027,18469,4397,2104,6072,4943,3737,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,031,00158,000000,Sub-District - Arki,Total,11189,9023,4303,9301,215,478,1785,5277,2461,490,1270,912,286,603,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,031,00158,000000,Sub-District - Arki,Rural,10515,8440,4080,8680,190,415,1704,4912,2316,453,1140,788,236,579,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,031,00158,000000,Sub-District - Arki,Urban,674,583,223,621,25,63,81,365,145,37,130,124,50,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,031,00158,800122,Arki (NP),Urban,674,583,223,621,25,63,81,365,145,37,130,124,50,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,031,00159,000000,Sub-District - Darlaghat,Total,7001,5826,2531,5553,263,285,569,4482,1195,155,543,780,258,343,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,031,00159,000000,Sub-District - Darlaghat,Rural,7001,5826,2531,5553,263,285,569,4482,1195,155,543,780,258,343,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,031,00159,000000,Sub-District - Darlaghat,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,031,00160,000000,Sub-District - Ramshahr,Total,6308,5110,2055,4385,57,195,471,3927,934,234,564,340,60,556,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,031,00160,000000,Sub-District - Ramshahr,Rural,6308,5110,2055,4385,57,195,471,3927,934,234,564,340,60,556,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,031,00160,000000,Sub-District - Ramshahr,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,031,00161,000000,Sub-District - Nalagarh,Total,22322,18516,3800,16660,704,1747,1727,14648,2622,5644,7308,2702,1462,1384,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,031,00161,000000,Sub-District - Nalagarh,Rural,19883,16339,3416,14653,483,1409,1632,12923,2155,5342,6425,2261,1085,1311,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,031,00161,000000,Sub-District - Nalagarh,Urban,2439,2177,384,2007,221,338,95,1725,467,302,883,441,377,73,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,031,00161,800123,Nalagarh (M Cl),Urban,2439,2177,384,2007,221,338,95,1725,467,302,883,441,377,73,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,031,00162,000000,Sub-District - Baddi,Total,21358,16810,3097,14255,577,1268,928,15914,1331,2497,5971,2439,1071,1794,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,031,00162,000000,Sub-District - Baddi,Rural,12659,10229,1993,9437,282,586,814,9003,1039,1786,4264,1597,504,833,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,031,00162,000000,Sub-District - Baddi,Urban,8699,6581,1104,4818,295,682,114,6911,292,711,1707,842,567,961,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,031,00162,800124,Baddi (M Cl + OG),Urban,8699,6581,1104,4818,295,682,114,6911,292,711,1707,842,567,961,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,031,00163,000000,Sub-District - Krishangarh,Total,4873,3957,1865,3899,104,222,682,2281,1321,199,600,293,96,244,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,031,00163,000000,Sub-District - Krishangarh,Rural,4873,3957,1865,3899,104,222,682,2281,1321,199,600,293,96,244,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,031,00163,000000,Sub-District - Krishangarh,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,031,00164,000000,Sub-District - Kasauli,Total,15990,13312,4984,12179,915,1286,1512,9210,3469,843,2866,2093,1299,830,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,031,00164,000000,Sub-District - Kasauli,Rural,12912,10602,4142,9658,415,835,1349,7248,2735,632,1923,1246,632,728,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,031,00164,000000,Sub-District - Kasauli,Urban,3078,2710,842,2521,500,451,163,1962,734,211,943,847,667,102,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,031,00164,800125,Kasauli (CB),Urban,742,704,315,705,81,84,69,381,260,31,126,139,96,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,031,00164,800126,Parwanoo (M Cl),Urban,2336,2006,527,1816,419,367,94,1581,474,180,817,708,571,96,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,031,00165,000000,Sub-District - Solan,Total,26308,24269,12030,22230,2132,3218,1818,16036,6775,2028,5190,4534,3036,649,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,031,00165,000000,Sub-District - Solan,Rural,15082,13785,7802,12525,580,1198,1244,8530,4016,1185,2781,1845,960,509,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,031,00165,000000,Sub-District - Solan,Urban,11226,10484,4228,9705,1552,2020,574,7506,2759,843,2409,2689,2076,140,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,031,00165,800127,Dagshai (CB),Urban,429,402,170,342,18,21,10,312,83,25,59,52,23,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,031,00165,800128,Solan (M Cl),Urban,10275,9586,3920,8875,1497,1872,538,6822,2581,800,2293,2553,1998,122,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,031,00165,800129,Sabathu (CB),Urban,522,496,138,488,37,127,26,372,95,18,57,84,55,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,031,00166,000000,Sub-District - Kandaghat,Total,8004,7431,3967,6230,283,529,658,4749,1917,336,963,1024,319,281,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,031,00166,000000,Sub-District - Kandaghat,Rural,8004,7431,3967,6230,283,529,658,4749,1917,336,963,1024,319,281,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,031,00166,000000,Sub-District - Kandaghat,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,032,00000,000000,District - Sirmaur,Total,97090,78937,26363,58902,2220,6373,5229,62390,7787,16691,17523,7459,3852,11075,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,032,00000,000000,District - Sirmaur,Rural,84317,67654,23292,47861,931,4179,4076,54178,5331,13915,12437,4650,1605,10786,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,032,00000,000000,District - Sirmaur,Urban,12773,11283,3071,11041,1289,2194,1153,8212,2456,2776,5086,2809,2247,289,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,032,00167,000000,Sub-District - Rajgarh,Total,9804,7491,4596,6574,107,547,346,7013,898,186,697,727,196,732,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,032,00167,000000,Sub-District - Rajgarh,Rural,9024,6806,4316,5911,65,344,314,6455,739,137,591,586,99,717,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,032,00167,000000,Sub-District - Rajgarh,Urban,780,685,280,663,42,203,32,558,159,49,106,141,97,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,032,00167,800130,Rajgarh (NP),Urban,780,685,280,663,42,203,32,558,159,49,106,141,97,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,032,00168,000000,Sub-District - Nohra,Total,4293,3767,1391,2228,16,98,94,3038,48,37,115,109,14,555,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,032,00168,000000,Sub-District - Nohra,Rural,4293,3767,1391,2228,16,98,94,3038,48,37,115,109,14,555,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,032,00168,000000,Sub-District - Nohra,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,032,00169,000000,Sub-District - Pachhad,Total,10512,9508,4908,6734,152,409,745,7106,989,554,980,622,189,789,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,032,00169,000000,Sub-District - Pachhad,Rural,10512,9508,4908,6734,152,409,745,7106,989,554,980,622,189,789,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,032,00169,000000,Sub-District - Pachhad,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,032,00170,000000,Sub-District - Renuka,Total,7239,6163,1964,2563,54,340,148,4503,338,119,203,246,67,1578,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,032,00170,000000,Sub-District - Renuka,Rural,7239,6163,1964,2563,54,340,148,4503,338,119,203,246,67,1578,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,032,00170,000000,Sub-District - Renuka,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,032,00171,000000,Sub-District - Dadahu,Total,3301,2863,1263,1674,43,185,216,1834,388,120,273,173,68,435,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,032,00171,000000,Sub-District - Dadahu,Rural,3301,2863,1263,1674,43,185,216,1834,388,120,273,173,68,435,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,032,00171,000000,Sub-District - Dadahu,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,032,00172,000000,Sub-District - Nahan,Total,17048,14194,5125,12174,704,1614,1024,10017,2882,2055,4037,1920,1186,1584,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,032,00172,000000,Sub-District - Nahan,Rural,10831,8725,3050,6765,130,613,732,6153,1322,1487,2090,683,265,1426,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,032,00172,000000,Sub-District - Nahan,Urban,6217,5469,2075,5409,574,1001,292,3864,1560,568,1947,1237,921,158,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,032,00172,800131,Nahan (M Cl),Urban,6217,5469,2075,5409,574,1001,292,3864,1560,568,1947,1237,921,158,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,032,00173,000000,Sub-District - Paonta Sahib,Total,31173,24455,4400,20914,1062,2445,2388,19157,1917,13471,10900,3227,2013,2889,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,032,00173,000000,Sub-District - Paonta Sahib,Rural,25397,19326,3684,15945,389,1455,1559,15367,1180,11312,7867,1796,784,2773,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,032,00173,000000,Sub-District - Paonta Sahib,Urban,5776,5129,716,4969,673,990,829,3790,737,2159,3033,1431,1229,116,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,032,00173,800132,Paonta Sahib (M Cl),Urban,5776,5129,716,4969,673,990,829,3790,737,2159,3033,1431,1229,116,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,032,00174,000000,Sub-District - Kamrau,Total,5645,4189,803,2854,36,296,226,3475,219,101,230,178,52,1212,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,032,00174,000000,Sub-District - Kamrau,Rural,5645,4189,803,2854,36,296,226,3475,219,101,230,178,52,1212,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,032,00174,000000,Sub-District - Kamrau,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,032,00175,000000,Sub-District - Shalai,Total,4920,3946,1210,2037,35,272,23,3692,87,36,74,178,52,854,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,032,00175,000000,Sub-District - Shalai,Rural,4920,3946,1210,2037,35,272,23,3692,87,36,74,178,52,854,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,032,00175,000000,Sub-District - Shalai,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,032,00176,000000,Sub-District - Ronhat,Total,3155,2361,703,1150,11,167,19,2555,21,12,14,79,15,447,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,032,00176,000000,Sub-District - Ronhat,Rural,3155,2361,703,1150,11,167,19,2555,21,12,14,79,15,447,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,032,00176,000000,Sub-District - Ronhat,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,033,00000,000000,District - Shimla,Total,180770,153347,70807,131450,9177,14950,6859,125896,28920,2813,8186,23107,10363,10587,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,033,00000,000000,District - Shimla,Rural,130864,107468,51688,88981,2168,6293,5031,91203,17318,1159,4035,11355,2503,9886,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,033,00000,000000,District - Shimla,Urban,49906,45879,19119,42469,7009,8657,1828,34693,11602,1654,4151,11752,7860,701,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,033,00177,000000,Sub-District - Rampur,Total,18560,16764,4539,13046,614,1244,381,14083,1597,282,1083,1778,748,1429,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,033,00177,000000,Sub-District - Rampur,Rural,15628,14028,3992,10593,292,889,264,11734,1227,124,710,1078,341,1392,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,033,00177,000000,Sub-District - Rampur,Urban,2932,2736,547,2453,322,355,117,2349,370,158,373,700,407,37,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,033,00177,800133,Rampur (M Cl),Urban,1506,1386,218,1273,121,164,70,1138,239,39,132,335,158,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,033,00177,023702,Jhakhri (CT),Urban,1426,1350,329,1180,201,191,47,1211,131,119,241,365,249,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,033,00178,000000,Sub-District - Nankhari,Total,6137,5583,1980,4400,42,291,117,4755,546,14,63,237,31,399,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,033,00178,000000,Sub-District - Nankhari,Rural,6137,5583,1980,4400,42,291,117,4755,546,14,63,237,31,399,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,033,00178,000000,Sub-District - Nankhari,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,033,00179,000000,Sub-District - Kumharsain,Total,10449,9050,3952,8046,210,445,803,6188,2400,76,282,925,164,505,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,033,00179,000000,Sub-District - Kumharsain,Rural,10223,8858,3889,7886,199,394,802,6015,2367,72,279,906,154,498,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,033,00179,000000,Sub-District - Kumharsain,Urban,226,192,63,160,11,51,1,173,33,4,3,19,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,033,00179,800134,Narkanda (NP),Urban,226,192,63,160,11,51,1,173,33,4,3,19,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,033,00180,000000,Sub-District - Seoni,Total,7388,6432,4338,5562,120,231,636,4236,1595,143,310,434,104,402,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,033,00180,000000,Sub-District - Seoni,Rural,6680,5819,4087,4983,100,163,630,3648,1519,82,223,332,54,388,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,033,00180,000000,Sub-District - Seoni,Urban,708,613,251,579,20,68,6,588,76,61,87,102,50,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,033,00180,800135,Seoni (NP),Urban,708,613,251,579,20,68,6,588,76,61,87,102,50,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,033,00181,000000,Sub-District - Shimla   ( Rural ),Total,17346,14769,9312,14332,738,1381,990,11342,3531,307,1153,2128,968,550,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,033,00181,000000,Sub-District - Shimla   ( Rural ),Rural,17137,14566,9258,14149,729,1365,978,11191,3499,307,1131,2099,957,544,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,02,033,00181,000000,Sub-District - Shimla   ( Rural ),Urban,209,203,54,183,9,16,12,151,32,NA,22,29,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
