Table Name(1),State Code (2),District Code(3),Tehsil Code  (4),Town  Code (5),Area Name (6),Total/ Rural/ Urban(7),Total number of households (8),Total number of households availing banking services  (9),"Availability of assets Radio/
Transistor (10)",Availability of assets Television (11),Availability of assets Computer/Laptop With Internet (12),Availability of assets Computer/Laptop Without Internet (13),Availability of assets Telephone/Mobile PhoneLandline only (14),Availability of assets Telephone/Mobile Phone Mobile only (15),Availability of assets Telephone/Mobile Phone Both (16),Availability of assets Bicycle (17),Availability of assets Scooter/ Motorcycle/Moped (18),Availability of assets Car/ Jeep/Van (19),"Availability of assets Households with TV, Computer/Laptop, Telephone/mobile phone and Scooter/ Car (20)",Availability of assets None of the assets specified in col.(21),,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,002,00004,000000,Sub-District - Khag,Total,8507,4193,5395,2404,57,307,86,4718,162,105,218,207,38,1916,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,002,00004,000000,Sub-District - Khag,Rural,8507,4193,5395,2404,57,307,86,4718,162,105,218,207,38,1916,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,002,00004,000000,Sub-District - Khag,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,002,00005,000000,Sub-District - Beerwah,Total,19411,11868,15241,10259,281,594,523,13694,719,2268,895,822,215,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,002,00005,000000,Sub-District - Beerwah,Rural,17738,10586,13905,9064,245,520,480,12410,615,2200,814,688,179,1458,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,002,00005,000000,Sub-District - Beerwah,Urban,1673,1282,1336,1195,36,74,43,1284,104,68,81,134,36,92,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,002,00005,800016,Magam (MC),Urban,751,657,607,607,8,37,23,625,28,43,43,62,21,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,002,00005,800017,Beerwah (MC),Urban,922,625,729,588,28,37,20,659,76,25,38,72,15,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,002,00006,000000,Sub-District - Khansahib,Total,16192,6724,10413,6475,172,522,250,8549,298,163,309,360,127,3155,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,002,00006,000000,Sub-District - Khansahib,Rural,15859,6413,10127,6229,128,492,239,8332,251,159,301,336,112,3144,,,,,,,,,,,,,,,,,,,,,,,,,,,
